state,population,num_reps,seat_change,avg_per_rep,year
alabama,5030053,7,0,718579,2020
alabama,4802982,7,7,686140,2010
alabama,4461130,7,7,637304,2000
alabama,4062608,7,7,580373,1990
alabama,3890061,7,7,555723,1980
alabama,3475885,7,7,496555,1970
alabama,3266740,8,8,408343,1960
alabama,3061743,9,9,340194,1950
alabama,2832961,9,9,314773,1940
alabama,2646242,9,9,294027,1930
alaska,736081,1,0,736081,2020
alaska,721523,1,0,721523,2010
alaska,628933,1,0,628933,2000
alaska,551947,1,0,551947,1990
alaska,400481,1,0,400481,1980
alaska,304067,1,0,304067,1970
alaska,226167,1,0,226167,1960
alaska,0,0,0,0,1950
alaska,0,0,0,0,1940
alaska,0,0,0,0,1930
arizona,7158923,9,0,795436,2020
arizona,6412700,9,1,712522,2010
arizona,5140683,8,2,642585,2000
arizona,3677985,6,1,612998,1990
arizona,2717866,5,1,543573,1980
arizona,1787620,4,1,446905,1970
arizona,1302161,3,1,434054,1960
arizona,749587,2,0,374794,1950
arizona,499261,2,1,249631,1940
arizona,389375,1,0,389375,1930
arkansas,3013756,4,0,753439,2020
arkansas,2926229,4,0,731557,2010
arkansas,2679733,4,0,669933,2000
arkansas,2362239,4,0,590560,1990
arkansas,2285513,4,0,571378,1980
arkansas,1942303,4,0,485576,1970
arkansas,1786272,4,-2,446568,1960
arkansas,1909511,6,-1,318252,1950
arkansas,1949387,7,0,278484,1940
arkansas,1854444,7,0,264921,1930
california,39576757,52,-1,761091,2020
california,37341989,53,0,704566,2010
california,33930798,53,1,640204,2000
california,29839250,52,7,573832,1990
california,23668562,45,2,525968,1980
california,20098863,43,5,467415,1970
california,15717204,38,8,413611,1960
california,10586223,30,7,352874,1950
california,6907387,23,3,300321,1940
california,5668241,20,9,283412,1930
colorado,5782171,8,1,722771,2020
colorado,5044930,7,0,720704,2010
colorado,4311882,7,1,615983,2000
colorado,3307912,6,0,551319,1990
colorado,2888834,6,1,481472,1980
colorado,2226771,5,1,445354,1970
colorado,1753947,4,0,438487,1960
colorado,1325089,4,0,331272,1950
colorado,1123296,4,0,280824,1940
colorado,1034849,4,0,258712,1930
connecticut,3608298,5,0,721660,2020
connecticut,3581628,5,0,716326,2010
connecticut,3409535,5,-1,681907,2000
connecticut,3295669,6,0,549278,1990
connecticut,3107576,6,0,517929,1980
connecticut,3050693,6,0,508449,1970
connecticut,2535234,6,0,422539,1960
connecticut,2007280,6,0,334547,1950
connecticut,1709242,6,0,284874,1940
connecticut,1606897,6,1,267816,1930
delaware,990837,1,0,990837,2020
delaware,900877,1,0,900877,2010
delaware,785068,1,0,785068,2000
delaware,668696,1,0,668696,1990
delaware,595225,1,0,595225,1980
delaware,551928,1,0,551928,1970
delaware,446292,1,0,446292,1960
delaware,318085,1,0,318085,1950
delaware,266505,1,0,266505,1940
delaware,238380,1,0,238380,1930
florida,21570527,28,1,770376,2020
florida,18900773,27,2,700029,2010
florida,16028890,25,2,641156,2000
florida,13003362,23,4,565364,1990
florida,9739992,19,4,512631,1980
florida,6855702,15,3,457047,1970
florida,4951560,12,4,412630,1960
florida,2771305,8,2,346413,1950
florida,1897414,6,1,316236,1940
florida,1468191,5,1,293638,1930
georgia,10725274,14,0,766091,2020
georgia,9727566,14,1,694826,2010
georgia,8206975,13,2,631306,2000
georgia,6508419,11,1,591674,1990
georgia,5464265,10,0,546427,1980
georgia,4627306,10,0,462731,1970
georgia,3943116,10,0,394312,1960
georgia,3444578,10,0,344458,1950
georgia,3123723,10,0,312372,1940
georgia,2908446,10,-2,290845,1930
hawaii,1460137,2,0,730069,2020
hawaii,1366862,2,0,683431,2010
hawaii,1216642,2,0,608321,2000
hawaii,1115274,2,0,557637,1990
hawaii,965000,2,0,482500,1980
hawaii,784901,2,0,392451,1970
hawaii,632772,2,0,316386,1960
hawaii,0,0,0,0,1950
hawaii,0,0,0,0,1940
hawaii,0,0,0,0,1930
idaho,1841377,2,0,920689,2020
idaho,1573499,2,0,786750,2010
idaho,1297274,2,0,648637,2000
idaho,1011986,2,0,505993,1990
idaho,943935,2,0,471968,1980
idaho,719921,2,0,359961,1970
idaho,667191,2,0,333596,1960
idaho,588637,2,0,294319,1950
idaho,524873,2,0,262437,1940
idaho,441536,2,0,220768,1930
illinois,12822739,17,-1,754279,2020
illinois,12864380,18,-1,714688,2010
illinois,12439042,19,-1,654686,2000
illinois,11466682,20,-2,573334,1990
illinois,11418461,22,-2,519021,1980
illinois,11184320,24,0,466013,1970
illinois,10081158,24,-1,420048,1960
illinois,8712176,25,-1,348487,1950
illinois,7897241,26,-1,303740,1940
illinois,7630388,27,0,282607,1930
indiana,6790280,9,0,754476,2020
indiana,6501582,9,0,722398,2010
indiana,6090782,9,-1,676754,2000
indiana,5564228,10,0,556423,1990
indiana,5490179,10,-1,549018,1980
indiana,5228156,11,0,475287,1970
indiana,4662498,11,0,423863,1960
indiana,3934224,11,0,357657,1950
indiana,3427796,11,-1,311618,1940
indiana,3238480,12,-1,269873,1930
iowa,3192406,4,0,798102,2020
iowa,3053787,4,-1,763447,2010
iowa,2931923,5,0,586385,2000
iowa,2787424,5,-1,557485,1990
iowa,2913387,6,0,485565,1980
iowa,2846920,6,-1,474487,1970
iowa,2757537,7,-1,393934,1960
iowa,2621073,8,0,327634,1950
iowa,2538268,8,-1,317284,1940
iowa,2470420,9,-2,274491,1930
kansas,2940865,4,0,735216,2020
kansas,2863813,4,0,715953,2010
kansas,2693824,4,0,673456,2000
kansas,2485600,4,-1,621400,1990
kansas,2363208,5,0,472642,1980
kansas,2265846,5,0,453169,1970
kansas,2178611,5,-1,435722,1960
kansas,1905299,6,0,317550,1950
kansas,1801028,6,-1,300171,1940
kansas,1879498,7,-1,268500,1930
kentucky,4509342,6,0,751557,2020
kentucky,4350606,6,0,725101,2010
kentucky,4049431,6,0,674905,2000
kentucky,3698969,6,-1,616495,1990
kentucky,3661433,7,0,523062,1980
kentucky,3246481,7,0,463783,1970
kentucky,3038156,7,-1,434022,1960
kentucky,2944806,8,-1,368101,1950
kentucky,2845627,9,0,316181,1940
kentucky,2614575,9,-2,290508,1930
louisiana,4661468,6,0,776911,2020
louisiana,4553962,6,-1,758994,2010
louisiana,4480271,7,0,640039,2000
louisiana,4238216,7,-1,605459,1990
louisiana,4203972,8,0,525497,1980
louisiana,3672008,8,0,459001,1970
louisiana,3257022,8,0,407128,1960
louisiana,2683516,8,0,335440,1950
louisiana,2363880,8,0,295485,1940
louisiana,2101593,8,0,262699,1930
maine,1363582,2,0,681791,2020
maine,1333074,2,0,666537,2010
maine,1277731,2,0,638866,2000
maine,1233223,2,0,616612,1990
maine,1124660,2,0,562330,1980
maine,1006320,2,0,503160,1970
maine,969265,2,-1,484633,1960
maine,913774,3,0,304591,1950
maine,847226,3,0,282409,1940
maine,797418,3,-1,265806,1930
maryland,6185278,8,0,773160,2020
maryland,5789929,8,0,723741,2010
maryland,5307886,8,0,663486,2000
maryland,4798622,8,0,599828,1990
maryland,4216446,8,0,527056,1980
maryland,3953698,8,0,494212,1970
maryland,3100689,8,1,387586,1960
maryland,2343001,7,1,334714,1950
maryland,1821244,6,0,303541,1940
maryland,1631522,6,0,271920,1930
massachusetts,7033469,9,0,781497,2020
massachusetts,6559644,9,-1,728849,2010
massachusetts,6355568,10,0,635557,2000
massachusetts,6029051,10,-1,602905,1990
massachusetts,5737037,11,-1,521549,1980
massachusetts,5726676,12,0,477223,1970
massachusetts,5148578,12,-2,429048,1960
massachusetts,4690514,14,0,335037,1950
massachusetts,4316721,14,-1,308337,1940
massachusetts,4249598,15,-1,283307,1930
michigan,10084442,13,-1,775726,2020
michigan,9911626,14,-1,707973,2010
michigan,9955829,15,-1,663722,2000
michigan,9328784,16,-2,583049,1990
michigan,9258344,18,-1,514352,1980
michigan,8937196,19,0,470379,1970
michigan,7823194,19,1,411747,1960
michigan,6371766,18,1,353987,1950
michigan,5256106,17,0,309183,1940
michigan,4842052,17,4,284827,1930
minnesota,5709752,8,0,713719,2020
minnesota,5314879,8,0,664360,2010
minnesota,4925670,8,0,615709,2000
minnesota,4387029,8,0,548379,1990
minnesota,4077148,8,0,509644,1980
minnesota,3833173,8,0,479147,1970
minnesota,3413864,8,-1,426733,1960
minnesota,2982483,9,0,331387,1950
minnesota,2792300,9,0,310256,1940
minnesota,2551583,9,-1,283509,1930
mississippi,2963914,4,0,740979,2020
mississippi,2978240,4,0,744560,2010
mississippi,2852927,4,-1,713232,2000
mississippi,2586443,5,0,517289,1990
mississippi,2520638,5,0,504128,1980
mississippi,2233848,5,0,446770,1970
mississippi,2178141,5,-1,435628,1960
mississippi,2178914,6,-1,363152,1950
mississippi,2183796,7,0,311971,1940
mississippi,2008154,7,-1,286879,1930
missouri,6160281,8,0,770035,2020
missouri,6011478,8,-1,751435,2010
missouri,5606260,9,0,622918,2000
missouri,5137804,9,0,570867,1990
missouri,4917444,9,-1,546383,1980
missouri,4718034,10,0,471803,1970
missouri,4319813,10,-1,431981,1960
missouri,3954653,11,-2,359514,1950
missouri,3784664,13,0,291128,1940
missouri,3629110,13,-3,279162,1930
montana,1085407,2,1,542704,2020
montana,994416,1,0,994416,2010
montana,905316,1,0,905316,2000
montana,803655,1,-1,803655,1990
montana,786690,2,0,393345,1980
montana,701573,2,0,350787,1970
montana,674767,2,0,337384,1960
montana,591024,2,0,295512,1950
montana,559456,2,0,279728,1940
montana,524729,2,0,262365,1930
nebraska,1963333,3,0,654444,2020
nebraska,1831825,3,0,610608,2010
nebraska,1715369,3,0,571790,2000
nebraska,1584617,3,0,528206,1990
nebraska,1570006,3,0,523335,1980
nebraska,1496820,3,0,498940,1970
nebraska,1411330,3,-1,470443,1960
nebraska,1325510,4,0,331378,1950
nebraska,1315834,4,-1,328959,1940
nebraska,1375123,5,-1,275025,1930
nevada,3108462,4,0,777116,2020
nevada,2709432,4,1,677358,2010
nevada,2002032,3,1,667344,2000
nevada,1206152,2,0,603076,1990
nevada,799184,2,1,399592,1980
nevada,492396,1,0,492396,1970
nevada,285278,1,0,285278,1960
nevada,160083,1,0,160083,1950
nevada,110247,1,0,110247,1940
nevada,86390,1,0,86390,1930
new-hampshire,1379089,2,0,689545,2020
new-hampshire,1321445,2,0,660723,2010
new-hampshire,1238415,2,0,619208,2000
new-hampshire,1113915,2,0,556958,1990
new-hampshire,920610,2,0,460305,1980
new-hampshire,746284,2,0,373142,1970
new-hampshire,606921,2,0,303461,1960
new-hampshire,533242,2,0,266621,1950
new-hampshire,491524,2,0,245762,1940
new-hampshire,465292,2,0,232646,1930
new-jersey,9294493,12,0,774541,2020
new-jersey,8807501,12,-1,733958,2010
new-jersey,8424354,13,0,648027,2000
new-jersey,7748634,13,-1,596049,1990
new-jersey,7364158,14,-1,526011,1980
new-jersey,7208035,15,0,480536,1970
new-jersey,6066782,15,1,404452,1960
new-jersey,4835329,14,0,345381,1950
new-jersey,4160165,14,0,297155,1940
new-jersey,4041319,14,2,288666,1930
new-mexico,2120220,3,0,706740,2020
new-mexico,2067273,3,0,689091,2010
new-mexico,1823821,3,0,607940,2000
new-mexico,1521779,3,0,507260,1990
new-mexico,1299968,3,1,433323,1980
new-mexico,1026664,2,0,513332,1970
new-mexico,951023,2,0,475512,1960
new-mexico,681187,2,0,340594,1950
new-mexico,531818,2,1,265909,1940
new-mexico,395982,1,0,395982,1930
new-york,20215751,26,-1,777529,2020
new-york,19421055,27,-2,719298,2010
new-york,19004973,29,-2,655344,2000
new-york,18044505,31,-3,582081,1990
new-york,17557288,34,-5,516391,1980
new-york,18338055,39,-2,470207,1970
new-york,16782304,41,-2,409324,1960
new-york,14830192,43,-2,344888,1950
new-york,13479142,45,0,299536,1940
new-york,12587967,45,2,279733,1930
north-carolina,10453948,14,1,746711,2020
north-carolina,9565781,13,0,735829,2010
north-carolina,8067673,13,1,620590,2000
north-carolina,6657630,12,1,554803,1990
north-carolina,5874429,11,0,534039,1980
north-carolina,5125230,11,0,465930,1970
north-carolina,4556155,11,-1,414196,1960
north-carolina,4061929,12,0,338494,1950
north-carolina,3571623,12,1,297635,1940
north-carolina,3167274,11,1,287934,1930
north-dakota,779702,1,0,779702,2020
north-dakota,675905,1,0,675905,2010
north-dakota,643756,1,0,643756,2000
north-dakota,641364,1,0,641364,1990
north-dakota,652695,1,0,652695,1980
north-dakota,624181,1,-1,624181,1970
north-dakota,632446,2,0,316223,1960
north-dakota,619636,2,0,309818,1950
north-dakota,641935,2,0,320968,1940
north-dakota,673340,2,-1,336670,1930
ohio,11808848,15,-1,787257,2020
ohio,11568495,16,-2,723031,2010
ohio,11374540,18,-1,631919,2000
ohio,10887325,19,-2,573017,1990
ohio,10797419,21,-2,514163,1980
ohio,10730200,23,-1,466530,1970
ohio,9706397,24,1,404433,1960
ohio,7946627,23,0,345506,1950
ohio,6907612,23,-1,300331,1940
ohio,6646633,24,2,276943,1930
oklahoma,3963516,5,0,792703,2020
oklahoma,3764882,5,0,752976,2010
oklahoma,3458819,5,-1,691764,2000
oklahoma,3157604,6,0,526267,1990
oklahoma,3025266,6,0,504211,1980
oklahoma,2585486,6,0,430914,1970
oklahoma,2328284,6,0,388047,1960
oklahoma,2233351,6,-2,372225,1950
oklahoma,2336434,8,-1,292054,1940
oklahoma,2382222,9,1,264691,1930
oregon,4241500,6,1,706917,2020
oregon,3848606,5,0,769721,2010
oregon,3428543,5,0,685709,2000
oregon,2853733,5,0,570747,1990
oregon,2632663,5,1,526533,1980
oregon,2110810,4,0,527703,1970
oregon,1768687,4,0,442172,1960
oregon,1521341,4,0,380335,1950
oregon,1089684,4,1,272421,1940
oregon,950379,3,0,316793,1930
pennsylvania,13011844,17,-1,765403,2020
pennsylvania,12734905,18,-1,707495,2010
pennsylvania,12300670,19,-2,647404,2000
pennsylvania,11924710,21,-2,567843,1990
pennsylvania,11866728,23,-2,515945,1980
pennsylvania,11884314,25,-2,475373,1970
pennsylvania,11319366,27,-3,419236,1960
pennsylvania,10498012,30,-3,349934,1950
pennsylvania,9900180,33,-1,300005,1940
pennsylvania,9631299,34,-2,283274,1930
rhode-island,1098163,2,0,549082,2020
rhode-island,1055247,2,0,527624,2010
rhode-island,1049662,2,0,524831,2000
rhode-island,1005984,2,0,502992,1990
rhode-island,947154,2,0,473577,1980
rhode-island,957798,2,0,478899,1970
rhode-island,859488,2,0,429744,1960
rhode-island,791896,2,0,395948,1950
rhode-island,713346,2,0,356673,1940
rhode-island,687497,2,-1,343749,1930
south-carolina,5124712,7,0,732102,2020
south-carolina,4645975,7,1,663711,2010
south-carolina,4025061,6,0,670844,2000
south-carolina,3505707,6,0,584285,1990
south-carolina,3119208,6,0,519868,1980
south-carolina,2617320,6,0,436220,1970
south-carolina,2382594,6,0,397099,1960
south-carolina,2117027,6,0,352838,1950
south-carolina,1899804,6,0,316634,1940
south-carolina,1738760,6,-1,289793,1930
south-dakota,887770,1,0,887770,2020
south-dakota,819761,1,0,819761,2010
south-dakota,756874,1,0,756874,2000
south-dakota,699999,1,0,699999,1990
south-dakota,690178,1,-1,690178,1980
south-dakota,673247,2,0,336624,1970
south-dakota,680514,2,0,340257,1960
south-dakota,652740,2,0,326370,1950
south-dakota,642961,2,0,321481,1940
south-dakota,673005,2,-1,336503,1930
tennessee,6916897,9,0,768544,2020
tennessee,6375431,9,0,708381,2010
tennessee,5700037,9,0,633337,2000
tennessee,4896641,9,0,544071,1990
tennessee,4590750,9,1,510083,1980
tennessee,3961060,8,-1,495133,1970
tennessee,3567089,9,0,396343,1960
tennessee,3291718,9,-1,365746,1950
tennessee,2915841,10,1,291584,1940
tennessee,2616497,9,-1,290722,1930
texas,29183290,38,2,767981,2020
texas,25268418,36,4,701901,2010
texas,20903994,32,2,653250,2000
texas,17059805,30,3,568660,1990
texas,14228383,27,3,526977,1980
texas,11298787,24,1,470783,1970
texas,9579677,23,1,416508,1960
texas,7711194,22,1,350509,1950
texas,6414824,21,0,305468,1940
texas,5824601,21,3,277362,1930
utah,3275252,4,0,818813,2020
utah,2770765,4,1,692691,2010
utah,2236714,3,0,745571,2000
utah,1727784,3,0,575928,1990
utah,1461037,3,1,487012,1980
utah,1067810,2,0,533905,1970
utah,890627,2,0,445314,1960
utah,688862,2,0,344431,1950
utah,550310,2,0,275155,1940
utah,505741,2,0,252871,1930
vermont,643503,1,0,643503,2020
vermont,630337,1,0,630337,2010
vermont,609890,1,0,609890,2000
vermont,564964,1,0,564964,1990
vermont,511456,1,0,511456,1980
vermont,448327,1,0,448327,1970
vermont,389881,1,0,389881,1960
vermont,377747,1,0,377747,1950
vermont,359231,1,0,359231,1940
vermont,359611,1,-1,359611,1930
virginia,8654542,11,0,786777,2020
virginia,8037736,11,0,730703,2010
virginia,7100702,11,0,645518,2000
virginia,6216568,11,1,565143,1990
virginia,5346279,10,0,534628,1980
virginia,4690742,10,0,469074,1970
virginia,3966949,10,0,396695,1960
virginia,3318680,10,1,331868,1950
virginia,2677773,9,0,297530,1940
virginia,2421829,9,-1,269092,1930
washington,7715946,10,0,771595,2020
washington,6753369,10,1,675337,2010
washington,5908684,9,0,656520,2000
washington,4887941,9,1,543105,1990
washington,4130163,8,1,516270,1980
washington,3443487,7,0,491927,1970
washington,2853214,7,0,407602,1960
washington,2378963,7,1,339852,1950
washington,1736191,6,0,289365,1940
washington,1552423,6,1,258737,1930
west-virginia,1795045,2,-1,897523,2020
west-virginia,1859815,3,0,619938,2010
west-virginia,1813077,3,0,604359,2000
west-virginia,1801625,3,-1,600542,1990
west-virginia,1949644,4,0,487411,1980
west-virginia,1763331,4,-1,440833,1970
west-virginia,1860421,5,-1,372084,1960
west-virginia,2005552,6,0,334259,1950
west-virginia,1901974,6,0,316996,1940
west-virginia,1729199,6,0,288200,1930
wisconsin,5897473,8,0,737184,2020
wisconsin,5698230,8,0,712279,2010
wisconsin,5371210,8,-1,671401,2000
wisconsin,4906745,9,0,545194,1990
wisconsin,4705335,9,0,522815,1980
wisconsin,4447013,9,-1,494113,1970
wisconsin,3951777,10,0,395178,1960
wisconsin,3434575,10,0,343458,1950
wisconsin,3137587,10,0,313759,1940
wisconsin,2931721,10,-1,293172,1930
wyoming,577719,1,0,577719,2020
wyoming,568300,1,0,568300,2010
wyoming,495304,1,0,495304,2000
wyoming,455975,1,0,455975,1990
wyoming,470816,1,0,470816,1980
wyoming,335719,1,0,335719,1970
wyoming,330066,1,0,330066,1960
wyoming,290529,1,0,290529,1950
wyoming,250742,1,0,250742,1940
wyoming,223630,1,0,223630,1930
